"Country","Happiness.Score","HDI","Population","Unemployment","GDP..2018.international...","Area..km.2.","Electricity.consumption.GW.h.yr.","Gini.Index","Index.of.Economic.Freedom","Median.wealth.per.adult..US.dollars.","Revenues..millions.USD.","Expenditures..millions.USD.","Surplus..or.deficit...millions.USD.","Real.GDP.growth.rate","average.Temperature.F","Education.Index","Natural.Disaster.Risk....","Environmental.Vulnerabilty.Index","CO2.Emissions.per.Capita..metric.tons.","Net.Exports.per.capita.USD","Life.Expectancy.at.Birth","X2019.mortality.rate..under.5..per.1000.live.births.","Overall.mean.BMI..kg.m2.","Democracy.Index","Incarceration.rate.per.100.000.population","Homicides.per.100.000","Ethnic.Fractionalization","Linguistic.Fractionalization","Religious.Fractionalization","Social.progress.index","Healthcare.Efficiency.Index","Marriages.per.1000","Divorces.per.1000","M.D.ratio","Gender.Equality.Index","Religiosity"
"Jordan",4.633,"0.729","10904244","14.6","100420802562","88780","17384","33.7","64.6","10947","9157","11810","-2653","2","64.94","0.701","0.0458","310","2.6","830","77.9","15.6","28.9","3.62","198","1.4","0.5926","0.0396","0.0659","71.5","0.698","10.2","2.6","3.92","0.683","0.96"
"Kazakhstan",6.058,"0.825","18891304","5","477876448362","2699700","91668","27.5","71.1","6642","29576","38318","-8742","-2.7","43.52","0.805","0.0356","215","16.8","4937","74","10.5","27.4","3.14","157","5","0.6171","0.6621","0.5898","72.66","0.752","8.6","2.3","3.74","0.71","0.53"
"Kenya",4.583,"0.601","47564296","2.6","221144073979","569140","8722","40.8","54.9","3553","15370","20180","-4810","1","76.55","0.518","0.0677","262","0.4","139","66.1","43.2","23","5.05","81","4.93","0.8588","0.886","0.7765","57.1","0.505","N/A","N/A","N/A","0.692","0.94"
"Kosovo",6.325,"N/A","1782115","25.9","20041776670","10887","5715","N/A","66.5","N/A","1396","1610","-214","-4.5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2.4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Kuwait",6.102,"0.806","4464521","2.3","213773808102","17820","59278","N/A","64.1","46218","61174","70401","-9227","0.7","77.63","0.611","0.0328","323","23.9","26269","81","7.9","30","3.8","117","1.8","0.6604","0.3444","0.6745","77.47","0.81","5.2","2.2","2.36","0.621","0.91"
"Kyrgyzstan",5.542,"0.697","6626800","6.6","N/A","N/A","11740","N/A","63.7","2412","2050","2304","-254","-12","34.79","0.721","0.0786","234","1.7","312","74.2","18.3","26.2","4.21","161","2.19","0.6752","0.5949","0.447","68.65","0.455","9.7","1.6","6.06","N/A","0.72"
"Laos",4.889,"0.613","7337783","0.6","N/A","N/A","4059","N/A","53.9","2002","3144","4098","-954","0.2","73.04","0.474","0.0559","243","0.5","357","68.5","45.5","22.6","1.77","130","7.01","0.5139","0.6382","0.5453","51.8","N/A","N/A","N/A","N/A","0.75","0.97"
"Latvia",5.95,"0.866","1891300","8","59057492337","62090","6877","34.2","72.3","13348","10130","10430","-300","2.2","42.08","0.835","0.0331","270","4.1","6787","75.4","3.6","25.8","7.24","175","4.36","0.5867","0.5795","0.5556","83.19","0.63","6.8","3.1","2.19","0.778","0.39"
"Lebanon",4.772,"0.744","6769000","6.3","109448612924","10230","17708","31.8","51.4","12198","10900","15990","-5090","-6.5","61.52","0.656","0.0501","387","4.2","981","76.4","7.2","27.8","4.16","205","2.49","0.1314","0.1312","0.7886","69.37","0.664","9.5","1.6","5.94","0.638","0.87"
"Lesotho",3.653,"0.527","2007201","22.8","5931020494","30360","902","54.2","53.5","384","1057","1160","-103","1.2","53.33","0.503","0.0684","280","0.3","497","50.7","86.4","24.9","6.3","92","41.25","0.255","0.2543","0.7211","53.8","0.266","N/A","N/A","N/A","0.698","N/A"
